time,data
2018/01/01 21:00:00,0.93054
2018/01/01 21:00:01,1.6939
2018/01/01 21:00:02,2.4572
2018/01/01 21:00:03,2.4572
2018/01/01 21:00:04,1.185
2018/01/01 21:00:05,-0.087238
2018/01/01 21:00:06,-1.105
2018/01/01 21:00:07,-1.3595
2018/01/01 21:00:08,-1.6139
2018/01/01 21:00:09,-0.85057
2018/01/01 21:00:10,-0.59613
2018/01/01 21:00:11,-1.105
2018/01/01 21:00:12,-1.6139
2018/01/01 21:00:13,-1.8683
2018/01/01 21:00:14,-1.3595
2018/01/01 21:00:15,-1.105
2018/01/01 21:00:16,-0.85057
2018/01/01 21:00:17,-0.85057
2018/01/01 21:00:18,-0.85057
2018/01/01 21:00:19,-0.59613
2018/01/01 21:00:20,-0.087238
2018/01/01 21:00:21,0.16721
2018/01/01 21:00:22,0.42165
2018/01/01 21:00:23,0.67609
2018/01/01 21:00:24,0.67609
2018/01/01 21:00:25,0.67609
2018/01/01 21:00:26,0.67609
2018/01/01 21:00:27,0.67609
2018/01/01 21:00:28,0.42165
2018/01/01 21:00:29,0.16721
2018/01/01 21:00:30,0.42165
2018/01/01 21:00:31,0.16721
2018/01/01 21:00:32,0.16721
2018/01/01 21:00:33,0.16721
2018/01/01 21:00:34,-0.087238
2018/01/01 21:00:35,0.16721
2018/01/01 21:00:36,0.16721
2018/01/01 21:00:37,0.16721
2018/01/01 21:00:38,-0.34168
2018/01/01 21:00:39,0.16721
2018/01/01 21:00:40,1.185
2018/01/01 21:00:41,1.9483
2018/01/01 21:00:42,2.4572
2018/01/01 21:00:43,1.4394
2018/01/01 21:00:44,0.16721
2018/01/01 21:00:45,-0.59613
2018/01/01 21:00:46,-1.105
2018/01/01 21:00:47,-0.85057
2018/01/01 21:00:48,-0.59613
2018/01/01 21:00:49,-0.087238
2018/01/01 21:00:50,-0.087238
2018/01/01 21:00:51,-1.105
2018/01/01 21:00:52,-1.8683
2018/01/01 21:00:53,-1.8683
2018/01/01 21:00:54,-1.3595
2018/01/01 21:00:55,-0.34168
2018/01/01 21:00:56,0.42165
2018/01/01 21:00:57,0.42165
2018/01/01 21:00:58,-0.087238
2018/01/01 21:00:59,0.16721
2018/01/01 21:01:00,0.42165
2018/01/01 21:01:01,0.93054
2018/01/01 21:01:02,0.67609
2018/01/01 21:01:03,0.67609
2018/01/01 21:01:04,0.42165
2018/01/01 21:01:05,0.16721
2018/01/01 21:01:06,0.16721
2018/01/01 21:01:07,0.16721
2018/01/01 21:01:08,-0.34168
2018/01/01 21:01:09,-0.087238
