time,data
2018/01/01 13:00:00,0.99364
2018/01/01 13:00:01,2.2738
2018/01/01 13:00:02,2.9139
2018/01/01 13:00:03,2.2738
2018/01/01 13:00:04,1.6337
2018/01/01 13:00:05,0.14021
2018/01/01 13:00:06,-0.71322
2018/01/01 13:00:07,-1.1399
2018/01/01 13:00:08,-0.92658
2018/01/01 13:00:09,-0.49987
2018/01/01 13:00:10,-0.92658
2018/01/01 13:00:11,-1.5667
2018/01/01 13:00:12,-1.78
2018/01/01 13:00:13,-1.9934
2018/01/01 13:00:14,-2.2067
2018/01/01 13:00:15,-1.78
2018/01/01 13:00:16,-1.3533
2018/01/01 13:00:17,-0.71322
2018/01/01 13:00:18,-0.49987
2018/01/01 13:00:19,-0.28651
2018/01/01 13:00:20,0.35356
2018/01/01 13:00:21,0.35356
2018/01/01 13:00:22,0.78028
2018/01/01 13:00:23,0.78028
2018/01/01 13:00:24,0.78028
2018/01/01 13:00:25,0.56692
2018/01/01 13:00:26,0.56692
2018/01/01 13:00:27,0.35356
2018/01/01 13:00:28,0.56692
2018/01/01 13:00:29,0.56692
2018/01/01 13:00:30,0.56692
2018/01/01 13:00:31,0.35356
2018/01/01 13:00:32,0.35356
2018/01/01 13:00:33,0.14021
2018/01/01 13:00:34,0.14021
2018/01/01 13:00:35,0.35356
2018/01/01 13:00:36,0.14021
2018/01/01 13:00:37,0.35356
2018/01/01 13:00:38,0.56692
2018/01/01 13:00:39,0.78028
2018/01/01 13:00:40,0.78028
2018/01/01 13:00:41,1.207
2018/01/01 13:00:42,1.4204
2018/01/01 13:00:43,1.4204
2018/01/01 13:00:44,0.35356
2018/01/01 13:00:45,-0.28651
2018/01/01 13:00:46,-0.71322
2018/01/01 13:00:47,-0.92658
2018/01/01 13:00:48,-0.92658
2018/01/01 13:00:49,-0.71322
2018/01/01 13:00:50,-0.71322
2018/01/01 13:00:51,-1.1399
2018/01/01 13:00:52,-1.5667
2018/01/01 13:00:53,-1.3533
2018/01/01 13:00:54,-1.1399
2018/01/01 13:00:55,-0.49987
2018/01/01 13:00:56,0.14021
2018/01/01 13:00:57,0.14021
2018/01/01 13:00:58,0.14021
2018/01/01 13:00:59,0.14021
2018/01/01 13:01:00,0.14021
2018/01/01 13:01:01,0.35356
2018/01/01 13:01:02,0.35356
2018/01/01 13:01:03,0.14021
2018/01/01 13:01:04,-0.073151
2018/01/01 13:01:05,-0.073151
2018/01/01 13:01:06,-0.073151
2018/01/01 13:01:07,0.14021
2018/01/01 13:01:08,0.14021
2018/01/01 13:01:09,-0.073151
