time,data
2018/01/01 14:00:00,-0.060775
2018/01/01 14:00:01,-0.34439
2018/01/01 14:00:02,1.9246
2018/01/01 14:00:03,3.6263
2018/01/01 14:00:04,1.9246
2018/01/01 14:00:05,0.50646
2018/01/01 14:00:06,-0.62801
2018/01/01 14:00:07,-1.1953
2018/01/01 14:00:08,-0.91163
2018/01/01 14:00:09,0.22284
2018/01/01 14:00:10,1.3573
2018/01/01 14:00:11,0.50646
2018/01/01 14:00:12,-1.1953
2018/01/01 14:00:13,-2.3297
2018/01/01 14:00:14,-2.0461
2018/01/01 14:00:15,-0.91163
2018/01/01 14:00:16,-0.34439
2018/01/01 14:00:17,-0.34439
2018/01/01 14:00:18,-0.91163
2018/01/01 14:00:19,-0.91163
2018/01/01 14:00:20,-0.34439
2018/01/01 14:00:21,0.22284
2018/01/01 14:00:22,0.22284
2018/01/01 14:00:23,0.50646
2018/01/01 14:00:24,0.79008
2018/01/01 14:00:25,0.79008
2018/01/01 14:00:26,0.79008
2018/01/01 14:00:27,0.79008
2018/01/01 14:00:28,0.79008
2018/01/01 14:00:29,0.79008
2018/01/01 14:00:30,1.0737
2018/01/01 14:00:31,0.79008
2018/01/01 14:00:32,0.50646
2018/01/01 14:00:33,0.22284
2018/01/01 14:00:34,0.22284
2018/01/01 14:00:35,0.22284
2018/01/01 14:00:36,0.22284
2018/01/01 14:00:37,-0.060775
2018/01/01 14:00:38,0.79008
2018/01/01 14:00:39,1.0737
2018/01/01 14:00:40,0.79008
2018/01/01 14:00:41,0.50646
2018/01/01 14:00:42,0.22284
2018/01/01 14:00:43,0.22284
2018/01/01 14:00:44,-0.34439
2018/01/01 14:00:45,-1.1953
2018/01/01 14:00:46,-2.0461
2018/01/01 14:00:47,-1.4789
2018/01/01 14:00:48,-0.34439
2018/01/01 14:00:49,0.50646
2018/01/01 14:00:50,0.22284
2018/01/01 14:00:51,-1.1953
2018/01/01 14:00:52,-2.0461
2018/01/01 14:00:53,-1.7625
2018/01/01 14:00:54,-1.1953
2018/01/01 14:00:55,-0.34439
2018/01/01 14:00:56,0.50646
2018/01/01 14:00:57,0.79008
2018/01/01 14:00:58,0.50646
2018/01/01 14:00:59,0.22284
2018/01/01 14:01:00,-0.060775
2018/01/01 14:01:01,-0.060775
2018/01/01 14:01:02,-0.060775
2018/01/01 14:01:03,-0.34439
2018/01/01 14:01:04,-0.34439
2018/01/01 14:01:05,-0.060775
2018/01/01 14:01:06,0.22284
2018/01/01 14:01:07,0.22284
2018/01/01 14:01:08,-0.060775
2018/01/01 14:01:09,-0.34439
2018/01/01 14:01:10,-0.34439
